filepath,class_name,binary_label
/raw_data/porn/3e4f749b1d8ccc9cc0e9572e8795fdd3acab0a70179276c2dbacd1964ba95b39.jpg,porn,NSFW
/raw_data/sexy/329bd11fbb1e1a0954d97937d3be82ad6010990b548f0095cb94622e1f58eb7f.jpg,sexy,NSFW
/raw_data/hentai/57fd84c40a494f1805a0aff4658014b7cd1270eec5f488f6b7534bd012bb69a2.jpg,hentai,NSFW
/raw_data/sexy/ee7bf12c80346b29437ca486c3cbc681e55d4dbd477f2ac0794344d399ed5a51.jpg,sexy,NSFW
/raw_data/neutral/659d0e9890292e7714fd2a59d0676611fea37e5e9c722886299de67d31c6a1d7.jpg,neutral,SFW
/raw_data/neutral/be2eb0d8a55dea7787f698226d0aa14caeb4ed42cecf90e651a29247993756ac.jpg,neutral,SFW
/raw_data/drawings/9998f36b48d9cead8b56ad91f0d3d67636f4172b74c0c709f3b32b5b3721f2ba.jpg,drawings,SFW
/raw_data/drawings/51a0dfeede1105fdd211f2a7ba9be218645b7562d6919adb3dd21b8196ce472c.jpg,drawings,SFW
/raw_data/sexy/7aabfd294d3183a98bc5179afa347d1b1448186412333023b218c770373bf707.jpg,sexy,NSFW
/raw_data/neutral/970d6b7e446b0f817a3cf7ce1176f7bb04970e5c874bd81c88bdd8f2de4ee11d.jpg,neutral,SFW
/raw_data/hentai/7e2f56c3702aca1b740bef615adfa3ec629258d2b83ac02f62d2fd1844a3811c.jpg,hentai,NSFW
/raw_data/hentai/3653931.jpg,hentai,NSFW
/raw_data/sexy/c39d1164fc47712f4972824d26a44c2fd3672a123eee68e10985820378bcf39d.jpg,sexy,NSFW
/raw_data/sexy/35dd088d3d53a60d6efe1fcef822ae10f904e62ae204a7959360be01dd337f06.jpg,sexy,NSFW
/raw_data/neutral/9c861ec2aa8fb53fe1f15a1d71b65270c4bd4d359096b50502899ac93ced812f.jpg,neutral,SFW
/raw_data/drawings/e184c12d1942372083e27cd6a86b4d9117a454ebde689382ee1d4b9362ee24d5.jpg,drawings,SFW
/raw_data/sexy/3d9a7491e912128bf42d5a76b9c7c912926b70661fecab41dbaf50af26ba1f99.jpg,sexy,NSFW
/raw_data/hentai/63945095_p1_master1200.jpg,hentai,NSFW
/raw_data/hentai/e211f23514c566093c735693526297cab6ec019870a165970abd09b33633192d.jpg,hentai,NSFW
/raw_data/sexy/a579bb29604d9cbeae16ef11bd416bace9b1ac6154b8e7979427c5687456b59f.jpg,sexy,NSFW
/raw_data/drawings/81248e2f36e5bb78294977bf63ca1d2bfe3364b4aa2ab43322f609770af36670.jpg,drawings,SFW
